url,approximate_value,number_drafted,position
/players/B/BarnNi20.htm,61,29,LB
/players/B/BarnOl20.htm,12,55,DE
/players/B/BarnSt20.htm,9,20,T
/players/B/BarnTi00.htm,14,77,WR
/players/B/BarnTo00.htm,6,91,HB
/players/B/BarnEp00.htm,3,72,FL
/players/B/BarnLe00.htm,117,34,DB
/players/B/BarnTo22.htm,21,223,P
/players/B/BarnGa01.htm,14,141,TE
/players/B/BarnMa01.htm,20,173,WR
/players/B/BarrAn00.htm,51,9,OLB
/players/B/BarrDa20.htm,0,119,QB
/players/B/BarrTe00.htm,37,36,HB
/players/B/BarrDa21.htm,0,103,RB
/players/B/BarrDa22.htm,31,102,DB
/players/B/BarrJa00.htm,2,84,E
/players/B/BarrJe20.htm,20,44,T
/players/B/BarrJo99.htm,2,220,DB
/players/B/BarrRe00.htm,1,58,WR
/players/B/BarrSa00.htm,4,232,ILB
/players/B/BarrTo00.htm,6,38,RB
/players/B/BarrAl20.htm,31,19,T
/players/B/BarrMa00.htm,53,7,LB
/players/B/BarrLa00.htm,2,156,ILB
/players/B/BarrMi20.htm,60,47,LB
/players/B/BarrFr20.htm,0,193,DB
/players/B/BartSt01.htm,0,143,RB
/players/B/BartBe00.htm,0,116,OL
/players/B/BartWi20.htm,13,54,DB
/players/B/BartRo20.htm,27,50,DB
/players/B/BartBr20.htm,0,192,P
/players/B/BartSt00.htm,70,1,QB
/players/B/BartDo20.htm,1,91,DT
/players/B/BartEp20.htm,0,241,LB
/players/B/BartCo00.htm,4,88,LB
/players/B/BartEr20.htm,51,146,LILB
/players/B/BartGr20.htm,0,229,QB
/players/B/BartHa00.htm,90,22,T
/players/B/BartKi20.htm,0,247,G
/players/B/BarwCo99.htm,51,46,DE
/players/B/BarzCa20.htm,24,6,DT
/players/B/BascBr00.htm,19,66,WR
/players/B/BashTa00.htm,9,80,DE
/players/B/BashId20.htm,19,37,DB
/players/B/BassDa00.htm,9,233,DE
/players/B/BassDi00.htm,52,2,FB
/players/B/BassDo00.htm,14,83,WR
/players/B/BassGl00.htm,27,64,SE
/players/B/BassTy00.htm,3,188,K
/players/B/BatcBa00.htm,1,232,RB
/players/B/BatcCh00.htm,33,60,QB
/players/B/BateMa20.htm,14,78,P
/players/B/BateDW00.htm,10,71,WR
/players/B/BateJe00.htm,25,54,FS
/players/B/BateMa00.htm,20,44,RB
/players/B/BateMi00.htm,6,150,RB
/players/B/BatePa20.htm,8,12,DB
/players/B/BateSo20.htm,2,135,LB
/players/B/BateTe20.htm,15,52,MLB
/players/B/BateTr00.htm,1,239,LB
/players/B/BattMa00.htm,5,39,TE
/players/B/BattDa99.htm,2,192,LB
/players/B/BattPa20.htm,0,56,FB
/players/B/BattAr00.htm,18,197,WR
/players/B/BattJi21.htm,0,90,T
