url,approximate_value,number_drafted,position
/players/A/AndeBi21.htm,0,-1,QB
/players/A/AndeBo01.htm,0,-1,HB
/players/A/AndeBo00.htm,20,-1,RB
/players/A/AndeBr20.htm,1,-1,WR
/players/A/AndeBr23.htm,0,-1,DB
/players/A/AndeBr21.htm,18,-1,DE
/players/A/AndeBr22.htm,0,-1,G
/players/A/AndeC.00.htm,26,-1,RB
/players/A/AndeCa00.htm,0,-1,T
/players/A/AndeCh20.htm,-1,-1,DE
/players/A/AndeCh21.htm,8,-1,LB
/players/A/AndeCh00.htm,2,-1,TE
/players/A/AndeCl00.htm,-1,-1,E
/players/A/AndeCo01.htm,0,-1,DB
/players/A/AndeCo00.htm,5,-1,TE
/players/A/AndeCu20.htm,3,-1,DE
/players/A/AndeCu21.htm,0,-1,DB
/players/A/AndeDa00.htm,2,-1,RB
/players/A/AndeDa20.htm,0,-1,DB
/players/A/AndeDa01.htm,7,-1,WR
/players/A/AndeDe01.htm,1,-1,FB
/players/A/AndeDe00.htm,24,-1,QB
/players/A/AndeDi20.htm,0,-1,T
/players/A/AndeDi00.htm,78,-1,DB
/players/A/AndeDo20.htm,0,32,DB
/players/A/AndeDo00.htm,69,-1,RB
/players/A/AndeDu20.htm,1,-1,DE
/players/A/AndeDw20.htm,0,-1,DB
/players/A/AndeDw21.htm,1,-1,DB
/players/A/AndeEd20.htm,-1,-1,E
/players/A/AndeEd21.htm,49,-1,DB
/players/A/AndeEr20.htm,1,-1,LB
/players/A/AndeFl00.htm,43,46,WR
/players/A/AndeFr20.htm,7,-1,DE
/players/A/AndeGa20.htm,0,-1,G
/players/A/andergar02.htm,51,-1,K
/players/A/AndeGa00.htm,42,-1,RB
/players/A/AndeHe00.htm,20,-1,DE
/players/A/AndeHe20.htm,0,-1,DB
/players/A/AndeHu20.htm,-1,-1,G
/players/A/AndeJa98.htm,20,-1,DE
/players/A/AndeJa00.htm,49,-1,RB
/players/A/AndeJa21.htm,31,-1,MLB
/players/A/AndeJa02.htm,0,-1,RB
/players/A/AndeJe20.htm,0,-1,DB
/players/A/AndeJe00.htm,2,-1,TE
/players/A/AndeJo00.htm,0,-1,WR
/players/A/AndeJo20.htm,63,-1,LB
/players/A/AndeJo01.htm,4,-1,LB
/players/A/AndeJu00.htm,0,-1,T
/players/A/AndeJu01.htm,0,-1,LB
/players/A/AndeKe00.htm,121,-1,QB
/players/A/AndeKe20.htm,0,-1,DT
/players/A/AndeKi20.htm,6,-1,DB
/players/A/AndeLa20.htm,9,-1,DB
/players/A/AndeMa20.htm,2,-1,WR
/players/A/AndeMa21.htm,21,-1,DE
/players/A/AndeMa22.htm,13,-1,DB
/players/A/AndeMa00.htm,6,-1,RB
/players/A/AndeMe20.htm,0,-1,WR
/players/A/AndeMi00.htm,36,-1,RB
/players/A/AndeNe00.htm,60,-1,RB
/players/A/AndeOc20.htm,-1,-1,TB
/players/A/AndeOt00.htm,80,-1,RB
/players/A/AndePa20.htm,-1,-1,G
/players/A/AndePr20.htm,0,-1,DB
/players/A/AndeRa00.htm,7,-1,E
/players/A/AndeRa20.htm,18,-1,DB
/players/A/AndeRa21.htm,7,-1,DB
/players/A/AndeRi01.htm,0,-1,CB
/players/A/AndeRi00.htm,29,-1,FB
/players/A/AndeRi20.htm,0,-1,RB
/players/A/AndeRo04.htm,29,-1,WR
/players/A/AndeRo20.htm,10,-1,DT
/players/A/AndeRo00.htm,0,-1,WR
/players/A/AndeRy00.htm,6,49,OLB
/players/A/AndeSc20.htm,0,-1,C
/players/A/AndeSc00.htm,8,-1,WR
/players/A/AndeSt01.htm,5,-1,TE
/players/A/AndeSt00.htm,2,-1,WR
/players/A/AndeSt21.htm,2,-1,LB
/players/A/AndeSu20.htm,-1,-1,E
/players/A/AndeTa00.htm,12,-1,TE
/players/A/AndeTe20.htm,0,-1,WR
/players/A/AndeTi20.htm,7,-1,DT
/players/A/AndeVi20.htm,0,-1,RB
/players/A/AndeVi00.htm,0,-1,DB
/players/A/AndeWa20.htm,0,-1,WR
/players/A/AndeWi20.htm,-1,-1,FB
/players/A/AndeWi21.htm,0,-1,DB
/players/A/AndeWi00.htm,101,-1,T
/players/A/AndeWi22.htm,-1,-1,E
/players/A/AndeZa01.htm,5,-1,LB
/players/A/AndoEr20.htm,23,-1,G
/players/A/AndrSt20.htm,-1,-1,C
/players/A/AndrTr20.htm,0,-1,C
/players/A/AndrAl20.htm,4,-1,RLB
/players/A/AndrAn00.htm,4,-1,RB
/players/A/AndrBi20.htm,42,-1,LB
/players/A/AndrDa00.htm,38,-1,C
/players/A/AndrGe20.htm,31,-1,LB
/players/A/AndrJa20.htm,-1,-1,WB
/players/A/AndrJo00.htm,0,-1,TE
/players/A/AndrJo20.htm,7,-1,DE
/players/A/AndrJo01.htm,0,-1,G
/players/A/AndrMa00.htm,23,-1,TE
